train_loss,train_acc,val_loss,val_acc
1.5316189463,0.4312399924,1.3636260365,0.5281999707
1.074452361,0.6126400232,1.1853506852,0.6062999964
0.9077656127,0.6763399839,1.2485516871,0.6050999761
0.7992796465,0.715659976,1.007543041,0.6568999887
0.7173292183,0.7473400235,0.9599896262,0.690599978
0.6500521255,0.7713400126,1.274696922,0.6159999967
0.6014462684,0.7902600169,0.6772111405,0.7667999864
0.5579721611,0.8054800034,0.677242359,0.7735000253
0.5247231565,0.8162000179,0.7007331211,0.7674000263
0.4896763904,0.8291599751,0.6084662634,0.7975000143
0.877034726,0.7001799941,2.5691620127,0.4862999916
0.7145606746,0.7573199868,1.0976862372,0.6834999919
0.6290135368,0.7869399786,1.0498762983,0.6902999878
0.5691876846,0.8103399873,0.8042041335,0.7544999719
0.5197951956,0.8244400024,0.8948534652,0.7477999926
0.4787371745,0.8406800032,0.7716115626,0.7796000242
0.4468289855,0.8492199779,0.7298910505,0.7713999748
0.4207468075,0.8605399728,0.6847537628,0.8137999773
0.3927829923,0.8687599897,0.6139069203,0.8112000227
0.3715947858,0.8746600151,0.515054255,0.8406999707
0.350131928,0.8830599785,0.4971452314,0.8439000249
0.3328360648,0.887740016,0.5135259334,0.8470000029
0.3146037237,0.8927599788,0.4644557123,0.8603000045
0.300637305,0.8981599808,0.4605834262,0.8622999787
0.2818383311,0.9047200084,0.4625809132,0.86650002
0.2724534832,0.909340024,0.420973721,0.878000021
0.255346281,0.9124000072,0.5904599609,0.8410000205
0.2463170303,0.916079998,0.5647552968,0.851000011
0.2330706185,0.9200199842,0.4431105266,0.8798000216
0.2208835697,0.9243400097,0.469743434,0.8708999753
0.2154147847,0.9279199839,0.4797610203,0.8733000159
0.1997741171,0.9310200214,0.4748676308,0.8686000109
0.1942118797,0.9342399836,0.497741271,0.8669999838
0.1851305802,0.9366400242,0.4102028261,0.8869000077
0.17739526,0.9389200211,0.5494954031,0.8623999953
0.1750582991,0.9391800165,0.488288776,0.8680999875
0.1619631226,0.9431999922,0.3711044092,0.8962000012
0.1570481775,0.9465799928,0.441378996,0.8937000036
0.1508577178,0.9472000003,0.4479588227,0.8898000121
0.1475693431,0.9492999911,0.3944368242,0.8982999921
0.1415310943,0.9512000084,0.4489709529,0.8849999905
0.1387829545,0.9525600076,0.3971729414,0.8971999884
0.1322362768,0.9544600248,0.4760756144,0.8808000088
0.126991663,0.9555199742,0.4358065225,0.8931999803
0.1247627534,0.9575799704,0.4919113719,0.881099999
0.1202264244,0.9591799974,0.463283472,0.8913000226
0.1188974047,0.9585400224,0.4003917235,0.9003000259
0.1125869258,0.9616199732,0.4007171977,0.8999000192
0.1096472414,0.9628800154,0.3991557494,0.9017000198
0.1128668289,0.9611600041,0.4474938255,0.896600008
0.102955335,0.9648399949,0.3903627717,0.9023000002
0.1050176517,0.9630200267,0.4470890962,0.9031000137
0.1045912208,0.9639999866,0.4043684828,0.9031999707
0.0952894013,0.9670199752,0.4288490982,0.9031000137
0.0943426809,0.9674999714,0.4161598477,0.8986999989
0.0931967901,0.9683600068,0.4872221443,0.9003999829
0.0892229643,0.9700000286,0.4571273755,0.9064999819
0.0882586473,0.9692999721,0.4572479783,0.9042000175
0.0869359041,0.9703800082,0.4565851368,0.899600029
0.0840942332,0.9707400203,0.4767127937,0.8980000019
0.0824914418,0.9722599983,0.5271794832,0.8938999772
0.0807943535,0.9724199772,0.5255238966,0.894200027
0.0785113582,0.9734600186,0.445498547,0.9034000039
0.0768407028,0.974059999,0.4643308643,0.9017999768
0.0744407202,0.9750400186,0.470194189,0.9093999863
0.0759024763,0.9735199809,0.4536367613,0.9032999873
0.0756154171,0.9745200276,0.5499914183,0.9004999995
0.0678412717,0.9769399762,0.5374402244,0.9017000198
0.0740221596,0.9749799967,0.4771554595,0.9053000212
0.0725735587,0.9756399989,0.4657986087,0.9077000022
0.0647625196,0.9776800275,0.4877638523,0.9078000188
0.0644449401,0.9784200191,0.5155461276,0.9017999768
0.0715698613,0.9757000208,0.5610476691,0.8962000012
0.0649509201,0.9777200222,0.4977776012,0.9035000205
0.066104379,0.9779800177,0.5151660703,0.9068999887
0.0655859382,0.9779000282,0.5203184216,0.9035999775
0.0621300664,0.9794999957,0.5351665537,0.905099988
0.0608066367,0.9800999761,0.5470834663,0.9029999971
0.0602727557,0.9795399904,0.4578744623,0.9111999869
0.0589902767,0.9799600244,0.4934738771,0.9075999856
0.0613594141,0.9797999859,0.5169764898,0.9085000157
0.0570016385,0.9812999964,0.5416570893,0.91049999
0.0625757905,0.9789400101,0.4783878458,0.9057000279
0.0547856331,0.9809200168,0.5295108407,0.9036999941
0.0571117438,0.9812800288,0.485944491,0.9106000066
0.05695214,0.9806600213,0.5155306785,0.9065999985
0.0570929328,0.9811400175,0.4709332466,0.9121000171
0.0563303124,0.9814199805,0.5388298265,0.9075999856
0.0539645227,0.9814199805,0.4977751182,0.9085000157
0.0518681276,0.9827799797,0.5575280108,0.9023000002
0.0537048072,0.9822599888,0.4677021749,0.9150000215
0.050912997,0.982919991,0.4575277938,0.9124000072
0.0505196761,0.9826999903,0.5148803156,0.908100009
0.0513125424,0.9828799963,0.5381509549,0.9139000177
0.0478791208,0.9843800068,0.5096529222,0.9113000035
0.0503795404,0.9829400182,0.556389283,0.9114000201
0.0468379844,0.9843800068,0.49994446,0.9108999968
0.0494895361,0.9836400151,0.5315800368,0.9107000232
0.0505436654,0.9834200144,0.5813845847,0.9110000134
0.0484151959,0.9839400053,0.5133444199,0.9111999869
0.0201371813,0.9934399724,0.4102144263,0.926699996
0.0098854388,0.9964600205,0.4134305068,0.9289000034
0.0069327238,0.9980999827,0.4231404538,0.9308999777
0.0061824641,0.9979199767,0.4422433836,0.9307000041
0.0062158356,0.9981600046,0.4376950025,0.9305999875
0.0044687453,0.998759985,0.4458603692,0.9311000109
0.0043578502,0.9986199737,0.4539756761,0.9322000146
0.0040475483,0.9987000227,0.4520879962,0.9309999943
0.0038121092,0.9988399744,0.4572241846,0.9305999875
0.0034935236,0.9989600182,0.4642825381,0.9312999845
0.0030967998,0.9991400242,0.4682914059,0.9311000109
0.0033528399,0.998939991,0.4645502236,0.932099998
0.0027626177,0.9991400242,0.4881509672,0.931400001
