train_loss,train_acc,val_loss,val_acc
1.5175232067,0.4399200082,1.3080803141,0.5267000198
1.1036379051,0.6051200032,1.185691826,0.581099987
0.9303860875,0.6642600298,0.9351899232,0.6650999784
0.8155570695,0.7092000246,0.9642746418,0.6772999763
0.7256214786,0.7419999838,1.0855118149,0.6464999914
0.6615158062,0.7674599886,0.8001722693,0.7375000119
0.6035493865,0.7892600298,0.7939751718,0.7405999899
0.5628676977,0.8035600185,0.7852045607,0.7495999932
0.5218492236,0.8167799711,0.665275974,0.7828999758
0.4883102026,0.8295599818,0.974162227,0.7225999832
0.8610906132,0.7045599818,1.1947240173,0.6653000116
0.6951121663,0.7652800083,1.5248171483,0.5929999948
0.6183021717,0.7929199934,0.6779254049,0.7753999829
0.5622894528,0.8126599789,0.7907411509,0.7524999976
0.516028502,0.8266000152,0.7755163391,0.768599987
0.4734994396,0.8426799774,0.79454605,0.7749999762
0.4477514975,0.8506799936,0.6843551326,0.8048999906
0.4144490324,0.8614400029,0.5329705481,0.837199986
0.3921933881,0.8679199815,0.5771005523,0.8375999928
0.3678221932,0.8762999773,0.4543319033,0.8521999717
0.34662665,0.8840199709,0.5562959766,0.8342000246
0.3292554216,0.8909400105,0.4485459946,0.8666999936
0.3127892854,0.8946999907,0.5371858463,0.8468999863
0.2975210079,0.9000999928,0.4348016017,0.8679000139
0.2812244024,0.9059000015,0.4811711696,0.8633999825
0.2674877509,0.908739984,0.4883908269,0.861800015
0.2510697889,0.9144600034,0.3904304503,0.8844000101
0.2442697776,0.9162999988,0.4477842207,0.8677999973
0.2336556434,0.9200400114,0.4244422554,0.8755000234
0.2229728892,0.9242600203,0.4868373703,0.8648999929
0.2080825582,0.929099977,0.4238311103,0.8828999996
0.2018480178,0.9311599731,0.5363832507,0.8562999964
0.193229953,0.9339799881,0.4286111148,0.8774999976
0.1866239396,0.9358000159,0.3877665057,0.8917999864
0.1761534813,0.9392399788,0.5442848575,0.8574000001
0.1684445848,0.9415799975,0.4443003751,0.8830000162
0.1666304303,0.9424399734,0.4142573336,0.8874999881
0.1577392446,0.947239995,0.3757061128,0.8884999752
0.1531635432,0.9468399882,0.4848739618,0.8820999861
0.1448296557,0.9495800138,0.4814264938,0.8848000169
0.1418175744,0.9510800242,0.4566051511,0.8909000158
0.1376768714,0.9532399774,0.4616976531,0.8863999844
0.131305751,0.9549599886,0.3961834123,0.8959000111
0.1308335839,0.9551799893,0.5039634263,0.8842999935
0.1235517715,0.9571999907,0.3923441179,0.899699986
0.1209587225,0.9577599764,0.4176321943,0.8964999914
0.1189978966,0.9591799974,0.4101294894,0.8970000148
0.1164175856,0.9603599906,0.4619974573,0.8899999857
0.1114280246,0.9621400237,0.55490418,0.878000021
0.1108376677,0.9620800018,0.3537970827,0.9082000256
0.1048898089,0.9638199806,0.3933810107,0.8986999989
0.1008098394,0.965200007,0.4528660283,0.9031000137
0.1017175559,0.9648200274,0.450407475,0.8978999853
0.0935128665,0.9676799774,0.5137403455,0.8895999789
0.1005356932,0.9660999775,0.4663236466,0.8985999823
0.0896792892,0.9691399932,0.4290119556,0.9049999714
0.0893150361,0.9691600204,0.4989115649,0.8952000141
0.0893342891,0.9697600007,0.435836202,0.9060000181
0.0870732887,0.9703199863,0.453721727,0.9025999904
0.0775039249,0.9739800096,0.4780342221,0.9059000015
0.0840354622,0.9710999727,0.3963095319,0.9068999887
0.0823871635,0.9720799923,0.4331957846,0.9090999961
0.0825526052,0.971759975,0.4694127033,0.9000999928
0.0761248603,0.9736400247,0.4643503667,0.9028999805
0.077772472,0.9735599756,0.51306087,0.898999989
0.0747136869,0.9750000238,0.4564453792,0.9006000161
0.0737238518,0.9751799703,0.4542792728,0.9007999897
0.0716304499,0.9765200019,0.4675564604,0.9064999819
0.0740465302,0.9749799967,0.4384732001,0.9049000144
0.0649246285,0.9776800275,0.5680903782,0.8913000226
0.0682372869,0.9766799808,0.5211212626,0.9078000188
0.0664884104,0.9774799943,0.4560039702,0.9028999805
0.0685879666,0.977240026,0.437812446,0.9089999795
0.0655359474,0.9775599837,0.5194870573,0.9046999812
0.0652524468,0.9779999852,0.4586425029,0.9117000103
0.0623426148,0.978579998,0.579773906,0.8978000283
0.0628104355,0.9792400002,0.4554659354,0.9107999802
0.0672344478,0.9774799943,0.4903983449,0.9064999819
0.0631042657,0.9790400267,0.4852136945,0.9045000076
0.0607114521,0.9796199799,0.4925607122,0.9077000022
0.0641508873,0.9781399965,0.4641210969,0.9056000113
0.0573937915,0.9811000228,0.5481230937,0.8963999748
0.059154599,0.9793400168,0.4580480038,0.9144999981
0.0551163848,0.9818199873,0.5318785154,0.9057999849
0.0570718356,0.9810400009,0.4954506681,0.9100999832
0.057615763,0.9810199738,0.5752130445,0.8960999846
0.054144936,0.9819599986,0.5087961081,0.9064999819
0.0575514921,0.9807599783,0.5499033583,0.9070000052
0.0538003052,0.9815999866,0.5477200196,0.9064999819
0.0580972444,0.9808599949,0.5020600664,0.9089999795
0.0518840973,0.9824399948,0.5595136131,0.9090999961
0.052692809,0.9833199978,0.5708106998,0.9028000236
0.0484660668,0.9841200113,0.5324867428,0.9090999961
0.0513551937,0.9827799797,0.4985355026,0.9101999998
0.0467976436,0.984160006,0.561440206,0.9077000022
0.0508505195,0.983619988,0.4816489335,0.9129999876
0.0447622097,0.9852399826,0.687643673,0.9000999928
0.0482520142,0.9847000241,0.5371757514,0.9085999727
0.0499817388,0.9837200046,0.5438688008,0.9035000205
0.0467705912,0.9843000174,0.5420570875,0.91049999
0.0181326043,0.9934999943,0.4391707177,0.9251999855
0.0105358044,0.9962999821,0.4461466453,0.9269000292
0.007621926,0.9974600077,0.4450993328,0.9271000028
0.0073511562,0.9973599911,0.4519556956,0.9272999763
0.0057564177,0.9982600212,0.4452712775,0.9276000261
0.0049811519,0.998480022,0.4565729105,0.9277999997
0.0051063152,0.9983800054,0.4588674605,0.9271000028
0.0042197374,0.998759985,0.4531478463,0.9289000034
