train_loss,train_acc,val_loss,val_acc
1.5067777094,0.4429999888,1.2748102342,0.5422000289
1.098602649,0.6044999957,1.0049329724,0.6376000047
0.923734666,0.6699799895,1.0999812099,0.643599987
0.8087861219,0.7138400078,0.8508538506,0.6974999905
0.7229430808,0.7466999888,0.7839578782,0.726000011
0.6495600453,0.7724999785,0.825682668,0.7256000042
0.5982244051,0.7911000252,0.9850076546,0.7057999969
0.5473734221,0.8106799722,0.6716335503,0.771600008
0.5121399325,0.8215399981,0.7770914571,0.7626000047
0.4781064511,0.8333799839,0.7343967255,0.7764000297
0.8543796553,0.7062399983,1.2250771228,0.6262000203
0.7035620189,0.7627999783,1.8139261807,0.5659999847
0.6214970429,0.7925199866,0.7262538645,0.7508000135
0.5555994817,0.8144000173,0.6987712334,0.7907000184
0.5101918941,0.8309599757,0.7290444525,0.7835999727
0.4702004762,0.8415799737,0.5933981802,0.8044999838
0.4374202804,0.8540199995,0.6781681433,0.7950999737
0.4094397904,0.8637800217,0.7039739335,0.7919999957
0.3860949869,0.8713600039,0.5203155,0.8464999795
0.3620504678,0.8790400028,0.6495815942,0.8087999821
0.342243255,0.8842399716,0.6325975762,0.8312000036
0.3243735507,0.8912799954,0.4518399244,0.8575000167
0.3102526086,0.8959599733,0.4508317262,0.863499999
0.2880605996,0.9029600024,0.4352570493,0.8661999702
0.2798294625,0.9053000212,0.4772102823,0.8500000238
0.2624807084,0.9122400284,0.5706745032,0.8511999846
0.2513295493,0.9157999754,0.5555557131,0.8517000079
0.2392537782,0.9182199836,0.3987321337,0.8744999766
0.2251982265,0.9234399796,0.5033876794,0.8657000065
0.2152362941,0.9271399975,0.3945924634,0.8828999996
0.2071345644,0.9298599958,0.3920409344,0.8852000237
0.1990200214,0.9333199859,0.4262724238,0.8790000081
0.1879255071,0.9356799722,0.4662274379,0.881099999
0.1815420636,0.9377200007,0.3852990817,0.8957999945
0.1725290211,0.9405400157,0.4335539982,0.8826000094
0.1669912026,0.9422600269,0.4616386785,0.8841999769
0.1614286913,0.9439799786,0.3805976101,0.8988999724
0.1564928604,0.946179986,0.406740292,0.8896999955
0.1512090309,0.9489600062,0.4290873623,0.8895000219
0.1449590261,0.9503600001,0.4568773284,0.8835999966
0.142135952,0.9510800242,0.4561826632,0.8938000202
0.1360715297,0.9543399811,0.4066395628,0.888899982
0.1296333462,0.9563800097,0.4418750511,0.8876000047
0.1282000351,0.9566000104,0.4127850033,0.8981999755
0.1212771942,0.9587000012,0.4199904115,0.8960000277
0.1202696661,0.9581199884,0.4731837507,0.8891999722
0.1144067884,0.96043998,0.4041303035,0.9038000107
0.1093664706,0.9628800154,0.5364625367,0.885800004
0.1114204445,0.9623000026,0.4523521362,0.8978999853
0.1070295995,0.9634199739,0.5268569259,0.8798999786
0.1062029161,0.963259995,0.433115057,0.8931999803
0.1008573802,0.965659976,0.3995512528,0.8998000026
0.0962958961,0.9670000076,0.5365998581,0.8892999887
0.0926962542,0.9690799713,0.4618668982,0.8945000172
0.0904963347,0.9693599939,0.4272202619,0.9023000002
0.0869502479,0.9703199863,0.4563709469,0.9004999995
0.0852022569,0.9707599878,0.4590676804,0.8960000277
0.0864491101,0.970080018,0.4621221837,0.9064999819
0.0855697547,0.9714599848,0.4825694752,0.8984000087
0.0866362463,0.9710000157,0.5690741294,0.8925999999
0.079330578,0.9728400111,0.5012644179,0.8995000124
0.0816044175,0.9724599719,0.4365915952,0.9071000218
0.0783624315,0.9735599756,0.4429402704,0.9021000266
0.0736650547,0.9755200148,0.5197430306,0.8993999958
0.0757478486,0.9745799899,0.4828146785,0.9108999968
0.078348487,0.9741600156,0.448412402,0.9053999782
0.0677612328,0.9768599868,0.5055449892,0.8985000253
0.0734011405,0.9757800102,0.4983684751,0.9018999934
0.0690280904,0.977339983,0.5586685316,0.9031999707
0.0651871132,0.9782000184,0.5959295627,0.8985000253
0.0677635105,0.9771400094,0.5671460353,0.8902999759
0.0658256058,0.977519989,0.4689421359,0.9060999751
0.0610385366,0.9790800214,0.5598280813,0.8970999718
0.0611043915,0.979820013,0.6264932944,0.8977000117
0.0618107849,0.9794800282,0.4702463852,0.9100999832
0.0618173827,0.9796599746,0.5285073096,0.9025999904
0.059348992,0.9797599912,0.5011856997,0.908100009
0.0609237863,0.9794800282,0.5180769578,0.9021000266
0.0602710668,0.9801399708,0.529445193,0.9014999866
0.0604681063,0.9799799919,0.4762001424,0.912800014
0.0556244338,0.9811999798,0.5556002606,0.9017000198
0.057684701,0.981400013,0.512992396,0.9003000259
0.0544101044,0.9821000099,0.5247957052,0.9068999887
0.0593325946,0.9802600145,0.4907566758,0.9110000134
0.0546897419,0.9822199941,0.5929605006,0.9010999799
0.0563939893,0.98052001,0.4554725436,0.9136999846
0.0558653299,0.9815599918,0.4955704325,0.9107999802
0.0509469058,0.9830800295,0.6192741798,0.8981999755
0.0537611638,0.9822800159,0.5782924953,0.9049999714
0.0539199141,0.9820200205,0.6339109342,0.8895999789
0.0504190053,0.9831200242,0.5861559797,0.9025999904
0.0526777067,0.9830600023,0.5084163813,0.9139000177
0.0479782463,0.9842200279,0.5405110051,0.9059000015
0.0509231901,0.9829999804,0.552368451,0.9053000212
0.0468028003,0.9847199917,0.5329476526,0.9103999734
0.0459292711,0.9849200249,0.5336944553,0.9108999968
0.0468332753,0.9843599796,0.5944526378,0.9085000157
0.0469297852,0.9848200083,0.7153831502,0.8878999949
0.0493458019,0.9843199849,0.6104074664,0.9010000229
0.0441641241,0.9854400158,0.5623008141,0.9096000195
0.0163129624,0.9941999912,0.450026544,0.9251999855
0.0108599718,0.9961400032,0.4551997985,0.9268000126
0.0078331296,0.9972800016,0.4495236512,0.9268000126
0.0063913292,0.9980800152,0.4623124382,0.9272999763
0.0057990673,0.9981999993,0.4702057028,0.9272999763
0.0046308626,0.9985799789,0.464577004,0.9280999899
0.0044912876,0.9986799955,0.4779144408,0.9272999763
0.0037521111,0.9988399744,0.4819112809,0.9275000095
0.0036165736,0.9987999797,0.4805761924,0.929099977
0.0040757442,0.9987400174,0.4836023001,0.9276999831
0.0036949366,0.9987800121,0.4862856239,0.9275000095
0.003480212,0.998939991,0.4889682044,0.9280999899
0.0024885066,0.9992200136,0.4952215373,0.9277999997
0.0032845234,0.9989600182,0.4994786519,0.9275000095
0.0028743548,0.9989200234,0.5004010118,0.9284999967
0.0026858029,0.9992799759,0.502057444,0.9282000065
0.0025056923,0.9991999865,0.5093724685,0.9302999973
0.0021065325,0.9994199872,0.5083439443,0.9283999801
0.002551025,0.9991999865,0.4973093599,0.9300000072
0.0019583236,0.9994199872,0.5134891617,0.92900002
0.0021527581,0.9993799925,0.5040095873,0.9301999807
0.0018893829,0.9994800091,0.5072695186,0.9308000207
0.0018331304,0.9995800257,0.5105687966,0.9301999807
0.0022061126,0.9993000031,0.5096610161,0.9305999875
0.0022489522,0.9992799759,0.5083839672,0.9301000237
0.0016296757,0.9995999932,0.5118804779,0.9301999807
0.0017715136,0.9994599819,0.5125400933,0.9308000207
0.0016983616,0.9994999766,0.5074583319,0.9298999906
0.0022457221,0.9993799925,0.5114614457,0.929700017
0.0020345893,0.9993799925,0.5046356535,0.9301999807
0.0018375469,0.9994999766,0.4980073938,0.9302999973
0.001878408,0.9993199706,0.5022192309,0.929700017
0.0020215562,0.9993600249,0.5045225147,0.92900002
0.0020688544,0.9992799759,0.5089162553,0.929799974
0.0017189989,0.9994800091,0.5133490377,0.9296000004
0.0017568136,0.9994199872,0.5069397512,0.9302999973
0.0014645927,0.9995599985,0.5013818969,0.929799974
0.001812386,0.9994999766,0.5127718235,0.9291999936
0.0016532532,0.9995200038,0.5125645205,0.9296000004
0.0014274124,0.9995599985,0.5079391765,0.9294999838
0.0014973665,0.9995599985,0.5114435062,0.929099977
0.0017450354,0.9994000196,0.5080493121,0.9294000268
0.0016750667,0.9994999766,0.5117540864,0.9304000139
0.0015943251,0.9994999766,0.5150773719,0.9283999801
0.0016532216,0.9994599819,0.5096345345,0.9309999943
0.0018118878,0.9994999766,0.5078886016,0.9304000139
0.0019053548,0.9994599819,0.506130986,0.929700017
0.0016885619,0.9994800091,0.5043467907,0.9302999973
0.0016320899,0.9994199872,0.5069317487,0.9294000268
0.001496123,0.9995200038,0.5045324258,0.9301000237
0.0013362092,0.9996399879,0.5146755889,0.9284999967
0.0015448688,0.9995200038,0.5079708358,0.9296000004
0.0017145807,0.9994400144,0.508044824,0.9301000237
0.0012283639,0.9996399879,0.5123567188,0.9293000102
0.0015458923,0.9995599985,0.5069972572,0.9302999973
0.0015604227,0.9995599985,0.5135145027,0.9302999973
0.0014452601,0.9995800257,0.5054005724,0.9296000004
0.0015691211,0.9995599985,0.5112912993,0.9293000102
0.0012655724,0.9996600151,0.5093606504,0.929799974
0.0014528666,0.9995999932,0.513743248,0.9298999906
0.0022953808,0.9992600083,0.5067476362,0.9302999973
0.0014221278,0.9995599985,0.5036239748,0.9301000237
0.0020627295,0.9993199706,0.5086124262,0.9302999973
0.001482629,0.9996200204,0.5096653555,0.9286000133
0.0013849859,0.9995800257,0.5088139356,0.9296000004
0.0014668362,0.9995800257,0.5093529711,0.9304000139
0.0017648552,0.9994999766,0.5084845068,0.9302999973
0.0015825416,0.9994999766,0.5045762515,0.9302999973
0.0016521679,0.9995399714,0.5084972255,0.9298999906
0.0016716228,0.9994800091,0.5037307786,0.9308000207
0.001773466,0.9994400144,0.5123692537,0.9300000072
0.0014347176,0.9995999932,0.512859588,0.9300000072
0.0017867638,0.9994400144,0.5048856879,0.9302999973
