train_loss,train_acc,val_loss,val_acc
1.5329517367,0.4348999858,1.2810486842,0.543900013
1.0994884921,0.6047400236,1.0920783198,0.6173999906
0.9162716108,0.6758000255,0.9419806554,0.6776999831
0.7923362715,0.7207599878,1.2272228697,0.6449999809
0.7116299748,0.749819994,1.3084845181,0.6274999976
0.6435261028,0.7749800086,0.8172115171,0.7400000095
0.5941986603,0.793380022,1.429611615,0.5866000056
0.5546707422,0.8073999882,0.6556076396,0.7867000103
0.5195902068,0.8169199824,0.7315435002,0.7684999704
0.4895007369,0.8288599849,0.6130666574,0.7972999811
0.8603674052,0.706520021,1.2677429779,0.6414999962
0.6989143291,0.7641000152,0.9206383817,0.7257999778
0.6190884356,0.7908800244,0.7435996895,0.7670999765
0.5608888943,0.8110200167,0.7705221938,0.7562000155
0.519682057,0.8270000219,0.7796463121,0.7670000196
0.4758175129,0.8416600227,0.779511712,0.7821000218
0.4468526004,0.8510400057,0.6341775531,0.8080000281
0.4144236732,0.8606399894,0.5828957784,0.8316000104
0.3936829378,0.8695600033,0.6112069337,0.8145999908
0.369763522,0.877120018,0.5102569176,0.8424000144
0.3503488413,0.8826799989,0.4368795355,0.8647000194
0.3308388781,0.8875799775,0.5382973322,0.8378000259
0.3143914615,0.8958399892,0.4697288656,0.8597999811
0.3022846867,0.8985000253,0.5643389864,0.8424999714
0.2795967915,0.9057400227,0.532305407,0.8428000212
0.2706510879,0.907580018,0.6097732575,0.8309000134
0.2560828579,0.9135400057,0.3957103095,0.8791000247
0.2423173454,0.9178199768,0.4903143358,0.8565000296
0.2331338244,0.9217399955,0.4762703954,0.869599998
0.2270313955,0.9227799773,0.4778590414,0.8676000237
0.2103302299,0.9272599816,0.5073167486,0.8590000272
0.2024222128,0.9312599897,0.4006727227,0.8844000101
0.1940548766,0.9333800077,0.4199303527,0.8891999722
0.1891531582,0.9355400205,0.5282265795,0.8747000098
0.1793945758,0.9377200007,0.5120655219,0.8707000017
0.1718888294,0.9422199726,0.4869354754,0.8794999719
0.1702642112,0.9419000149,0.4179157434,0.8876000047
0.1597123567,0.9457600117,0.446676849,0.8794999719
0.1571961971,0.9466999769,0.4165151923,0.8899000287
0.1463856432,0.9498599768,0.4410846103,0.8902999759
0.1384716123,0.9526200294,0.438696099,0.8899999857
0.1386326244,0.9531800151,0.4310819286,0.8883000016
0.1363896394,0.9527400136,0.4147575473,0.8974000216
0.1283749729,0.9554799795,0.420829659,0.8920999765
0.1226718078,0.9570800066,0.5621847744,0.8715999722
0.1260025706,0.9568399787,0.4239925271,0.8995000124
0.117140738,0.9596199989,0.5294745234,0.8840000033
0.1167967085,0.9602199793,0.3973551503,0.9034000039
0.1112880925,0.962559998,0.4564555387,0.8970000148
0.1098247952,0.9624000192,0.440091295,0.8970000148
0.1046009489,0.9636600018,0.4758835216,0.894299984
0.1056866931,0.9639800191,0.4436291417,0.896600008
0.1009119884,0.9642999768,0.4565536187,0.8977000117
0.0963752632,0.9669600129,0.4578710964,0.9014000297
0.0932212227,0.9681000113,0.4853914044,0.8960000277
0.0892130925,0.9686800241,0.4166306008,0.9052000046
0.090376029,0.9693400264,0.5676800001,0.894200027
0.0886252366,0.9704399705,0.4197106415,0.9100000262
0.0840663723,0.9712600112,0.5252069459,0.8927000165
0.0831478174,0.9711599946,0.5223787155,0.8999000192
0.0823119551,0.9721800089,0.5585183462,0.8898000121
0.0776538205,0.9733200073,0.4942858619,0.8988999724
0.0825807038,0.9718800187,0.4956649529,0.9028999805
0.0802007798,0.9719200134,0.4345224781,0.9093999863
0.0733745281,0.9747800231,0.5130666091,0.9021000266
0.0726144166,0.9752600193,0.5354017036,0.8960999846
0.0753024065,0.9746800065,0.4969882941,0.9011999965
