epoch,epoch_duration_seconds,train_loss,train_acc_1,train_acc_5,val_loss,val_acc_1,val_acc_5,precision_macro,recall_macro,f1_score_micro,f1_score_macro,f1_score_weighted,auroc
1.0,19.291893599999998,2.06673516740036,0.23408800005912775,0.7456480038166046,1.9040757230377199,0.2828200042247772,0.8238200068473817,0.3405161023139954,0.2828200042247772,0.2828200042247772,0.250502535700798,0.25050253272056583,0.7978374242782592
2.0,19.245984000000004,1.7523013982658389,0.3399199998378753,0.8690239989757539,1.6637201615524295,0.37763999700546264,0.8906999826431274,0.4028807461261749,0.3776400089263916,0.37763999700546264,0.3653602957725525,0.3653602957725525,0.8427784442901611
3.0,19.130329399999997,1.6362208090286252,0.38620800137519834,0.8937799954414368,1.56214251953125,0.4207800030708313,0.909500002861023,0.4361938893795014,0.42077999114990233,0.4207800030708313,0.41404205560684204,0.41404205560684204,0.8602194547653198
4.0,19.054546400000003,1.560425377212524,0.4187200003862381,0.9073759984970092,1.4808365531158447,0.4559599995613098,0.9221799969673157,0.4616035342216492,0.4559600055217743,0.4559599995613098,0.4488072037696838,0.4488072037696838,0.8729661226272584
5.0,19.170697399999998,1.4975327713279725,0.44482000112533565,0.9173359978199004,1.4294560238265988,0.474860006570816,0.9279799938201904,0.48266952633857724,0.47486000061035155,0.474860006570816,0.46808086037635804,0.4680808484554291,0.8823078274726868
6.0,19.123389399999997,1.4411643785991668,0.4705880010128021,0.9248399984836579,1.3767394567489626,0.49713999032974243,0.9361600041389465,0.506984841823578,0.49713999032974243,0.49713999032974243,0.48940075635910035,0.48940075635910035,0.891165018081665
7.0,19.2782416,1.3895084332466128,0.49125199854373935,0.9318839979171752,1.3252367321777345,0.5160399913787842,0.9419600009918213,0.5247690916061402,0.5160400032997131,0.5160399913787842,0.5098962843418121,0.5098962843418121,0.8986508965492249
8.0,19.224368799999997,1.345430312566757,0.5095360028743743,0.9371519994735716,1.2751675148391721,0.5380400061607361,0.9473399996757507,0.543467664718628,0.538040018081665,0.5380400061607361,0.5313828110694886,0.5313828110694886,0.9051592111587524
9.0,19.188291800000002,1.3041965055618283,0.5261759972572326,0.941728000640869,1.2277618450927734,0.5575999975204468,0.9514000058174134,0.5613650321960449,0.5576000094413757,0.5575999975204468,0.5533637404441833,0.5533637285232543,0.9112611532211304
10.0,19.2305824,1.2687396884269717,0.5399119997024536,0.9456959986686707,1.210448265914917,0.5661599993705749,0.9545600056648255,0.5704825162887573,0.566159987449646,0.5661599993705749,0.5613990068435669,0.5613990068435669,0.9146620869636536
11.0,19.3467296,1.2310232891864776,0.5542480015754699,0.9494079983234406,1.1877838312149047,0.5722399950027466,0.9554200053215026,0.5778646588325501,0.5722400307655334,0.5722399950027466,0.5675108551979066,0.5675108313560485,0.918064844608307
12.0,19.2049772,1.2001735593204497,0.5670679998397826,0.9519560027122497,1.1540305023193358,0.587119996547699,0.9586599946022033,0.5937952518463135,0.58711998462677,0.587119996547699,0.5824387192726136,0.5824387192726136,0.9225151181221009
13.0,19.187721400000004,1.1735735107421874,0.5772800028324127,0.9542440044879913,1.1176080229187013,0.598259997367859,0.9607199907302856,0.6018132090568543,0.5982599854469299,0.598259997367859,0.5931792140007018,0.5931792259216309,0.9267107248306274
14.0,19.287773600000005,1.1463478848972322,0.5868439996242523,0.9568639945983887,1.0962113313674926,0.6073000073432923,0.9619199991226196,0.6064926981925964,0.6072999954223633,0.6073000073432923,0.5998305082321167,0.5998305082321167,0.9294244766235352
15.0,19.237345599999998,1.120200895415306,0.5962640035152434,0.9587920010089874,1.0880118197631834,0.6121800065040589,0.9639999985694886,0.6175295114517212,0.6121800065040589,0.6121800065040589,0.6067086815834045,0.6067086696624756,0.9311500191688538
16.0,19.2592772,1.0971441106452942,0.6065160036087036,0.9604559993743896,1.072544278411865,0.6176000118255615,0.9645599961280823,0.6230455517768859,0.6176000118255615,0.6176000118255615,0.6120015025138855,0.6120014786720276,0.9334354400634766
17.0,19.181889799999997,1.0759721959505082,0.6135399997234344,0.9622360002994537,1.0332970812034605,0.6317999958992004,0.9669399857521057,0.6325596451759338,0.6318000078201295,0.6317999958992004,0.6265473008155823,0.6265472888946534,0.9367085456848144
18.0,19.1389776,1.0563141952877046,0.6206720042228699,0.9636519992351532,1.0166531013298037,0.6368800044059754,0.968180012702942,0.6391149640083312,0.6368800163269043,0.6368800044059754,0.6322714805603028,0.6322714686393738,0.9389530062675476
19.0,19.274827400000003,1.0378641992568973,0.6270279967784882,0.9653599989414214,1.008482842693329,0.6416400074958801,0.9692999958992005,0.6455458641052246,0.6416400194168091,0.6416400074958801,0.6373371481895447,0.6373371481895447,0.9402229070663451
20.0,19.3163764,1.0198095466766357,0.6347799980640412,0.9670879995822909,0.9886800816345215,0.6490599870681762,0.9703999996185303,0.6545260190963745,0.6490599870681762,0.6490599870681762,0.6462763428688049,0.6462763428688049,0.9423929333686828
21.0,19.1555882,1.003153745214462,0.6401840031147003,0.967955996990204,0.9794503940963747,0.6513000011444091,0.9713200092315674,0.6541865944862365,0.6513000011444091,0.6513000011444091,0.6456892251968384,0.6456892251968384,0.9439409613609314
22.0,19.13423,0.9887055362873077,0.645620002746582,0.9685080039501192,0.9638627823448181,0.6552199959754944,0.9725600004196168,0.6601124525070191,0.6552200198173522,0.6552199959754944,0.6505989670753479,0.6505989670753479,0.9456296920776367
