epoch,epoch_duration_seconds,train_loss,train_acc_1,train_acc_5,val_loss,val_acc_1,val_acc_5,precision_macro,recall_macro,f1_score_micro,f1_score_macro,f1_score_weighted,auroc
1,19.333318,2.1169536604499823,0.21944000124931334,0.7254199981689453,1.9295484172821045,0.2768000066280365,0.8108000159263611,0.3086358308792114,0.2767999768257141,0.2768000066280365,0.24473707377910614,0.24473707377910614,0.7829529643058777
2,19.494117,1.7972976402282714,0.3225400000810623,0.8557800054550171,1.6649392704010009,0.37540000677108765,0.8870999813079834,0.37591320276260376,0.37540000677108765,0.37540000677108765,0.3609076738357544,0.3609076738357544,0.8366142511367798
3,19.24283,1.6716929086494445,0.3715799987316132,0.8864199936389923,1.613904556274414,0.4050999879837036,0.90420001745224,0.41750144958496094,0.4050999879837036,0.4050999879837036,0.39737236499786377,0.39737236499786377,0.850930392742157
4,19.083126,1.6024625585556032,0.4038800001144409,0.8996600031852722,1.522758957862854,0.44350001215934753,0.9176999926567078,0.4459990859031677,0.44350001215934753,0.44350001215934753,0.4315526485443115,0.4315526485443115,0.8659958243370056
5,19.045553,1.5448646741485597,0.428260001540184,0.9098199963569641,1.4553339506149292,0.4611000120639801,0.923799991607666,0.4650299549102783,0.4610999822616577,0.4611000120639801,0.4494040608406067,0.4494040310382843,0.8755847811698914
6,18.958373,1.4899594179058073,0.4527800023555756,0.9173200011253357,1.4263394289016724,0.4763999879360199,0.9319000244140625,0.49528878927230835,0.4764000177383423,0.4763999879360199,0.4700731337070465,0.4700731337070465,0.8834520578384399
7,19.476573,1.4398516769599916,0.4714999973773956,0.9248199999332428,1.3762658107757568,0.501800000667572,0.9355000257492065,0.5140451192855835,0.501800000667572,0.501800000667572,0.49889007210731506,0.49889007210731506,0.8900207877159119
8,19.375208,1.395599700431824,0.4913599997758865,0.930680000782013,1.3192192602157593,0.520799994468689,0.9440000057220459,0.5229960083961487,0.520799994468689,0.520799994468689,0.510917067527771,0.510917067527771,0.8983378410339355
9,19.481993,1.3584758408546447,0.5084199965000152,0.934820008277893,1.2686011072158814,0.5412999987602234,0.9474999904632568,0.5419455170631409,0.5413000583648682,0.5412999987602234,0.536939263343811,0.536939263343811,0.9041983485221863
10,19.460411,1.3195866538906098,0.5226599872112274,0.9398999989032746,1.2588128385543824,0.5507000088691711,0.9508000016212463,0.5563129782676697,0.5506999492645264,0.5507000088691711,0.5465401411056519,0.5465401411056519,0.9078572392463684
11,19.416643,1.2800667061710356,0.5370000004768372,0.943939995765686,1.2224755416870117,0.5598999857902527,0.9549000263214111,0.5547763109207153,0.5599000453948975,0.5598999857902527,0.5512217879295349,0.5512217879295349,0.9121147394180298
12,19.19473,1.250391811676025,0.5490799963474273,0.9467000007629395,1.1954440690994264,0.5715000033378601,0.957099974155426,0.5727180242538452,0.5715000033378601,0.5715000033378601,0.5652588605880737,0.5652588605880737,0.9167001843452454
13,19.318138,1.221529410200119,0.5598400056362152,0.9485400021076202,1.1536344093322755,0.5860999822616577,0.9592999815940857,0.58628249168396,0.5860999822616577,0.5860999822616577,0.5831676125526428,0.5831676125526428,0.9207535982131958
14,19.500055,1.1933714741230008,0.5701799988746643,0.9520200014114379,1.150180648803711,0.5843999981880188,0.9585999846458435,0.5901233553886414,0.5843999981880188,0.5843999981880188,0.5797680020332336,0.5797680020332336,0.9236632585525513
15,19.380904,1.1642515861034393,0.5814599990844727,0.9551600039005279,1.1492426940917968,0.5879999995231628,0.9603999853134155,0.6033890247344971,0.5880000591278076,0.5879999995231628,0.5847130417823792,0.5847129821777344,0.9257909655570984
16,19.150693,1.1419564206600188,0.5916800022125244,0.956360000371933,1.1047180921554565,0.6079000234603882,0.9603999853134155,0.608288586139679,0.6079000234603882,0.6079000234603882,0.6023561358451843,0.6023561358451843,0.9287435412406921
17,19.299326,1.1179344552659987,0.6004000008106232,0.9585600018501281,1.0769604694366455,0.6195999979972839,0.9631999731063843,0.6219104528427124,0.6195999979972839,0.6195999979972839,0.6155117154121399,0.6155117154121399,0.9317826628684998
18,19.224923,1.0981316252803803,0.6065800070762635,0.9590599954128265,1.0481239601135255,0.6294999718666077,0.964900016784668,0.6291184425354004,0.6294999718666077,0.6294999718666077,0.6268105506896973,0.6268104910850525,0.9345020651817322
19,19.16007,1.0772904031658173,0.6133599996566772,0.9610199987888336,1.0417315439224244,0.6320000290870667,0.9668999910354614,0.6380318403244019,0.6319999694824219,0.6320000290870667,0.6302754878997803,0.6302754878997803,0.9362810254096985
20,19.490004,1.0586947638988493,0.618559992313385,0.9642199993133544,1.0214746187210082,0.63919997215271,0.9671000242233276,0.6465851068496704,0.63919997215271,0.63919997215271,0.6387779712677002,0.6387779712677002,0.9388080835342407
21,19.118956,1.0408411871910095,0.6259800016880035,0.9644199967384338,1.001007230758667,0.6470999717712402,0.9674000144004822,0.6477723121643066,0.647100031375885,0.6470999717712402,0.6430366039276123,0.6430366039276123,0.9404765963554382
22,19.125123,1.0264781871986388,0.632560008764267,0.9648000061511993,0.9949194690704346,0.6446999907493591,0.9690999984741211,0.6522746086120605,0.6447000503540039,0.6446999907493591,0.6410226821899414,0.6410226821899414,0.9424633979797363
